codigo_barras,descricao,unidade,valor
7891515732905,CARNE AVE COXA C/SOBRE-COXA PERDIGAO , UN ,2.69
7894904500383,HAMBURGUER DE CARNE BOVINA 56G       , UN ,0.99
7896589511777,LIGUICA TOSCANA LEBON 800G           , UN ,9.9
7896589512576,LINGUICA DE FRANGO LEBON 800G        , UN ,9.9
735201016252,MASSA PARA PESTEL DI NAPOLI 200G     , UN ,2.75
7898922348064,MEIO DA ASA ISIDORO 1KG              , UN ,10.99
7897563312281,ABRIDOR P/ LATAS BIO METAL UN        , UN ,3.9
7898411788845,ACUCAREIRO ACRILICO ROTAPLAST        , UN ,5.49
7898907008716,ALICATE P/ CUTICULAS SANREYS         , UN ,6.89
7890026022413,ANJINHOS DE GESSO BAILARINA          , UN ,6.99
7890026022703,ANJINHOS DE GESSO MENINA             , UN ,6.99
7890026022031,ANJINHOS DE GESSO MENINO             , UN ,6.99
7898916863375,APITO DE VARA FOGOS LIBERDADE 12 UN  , UN ,16.99
7898916862507,APITO DE VARA FOGOS LIBERDADE AZ UN  , UN ,16.9
3154145063004,APONTADOR                            , UN ,0.69
7501014592558,APONTADOR BIC C/2                    , UN ,2.99
7897476656199,APONTADOR CARROS                     , UN ,3.59
7897476663357,APONTADOR MONSTER                    , UN ,3.59
7897476618012,APONTADOR TRANSPARENTE               , UN ,1.9
7898912430922,ASSADEIRA ALTA N° 4                  , UN ,28.5
7898912430915,ASSADEIRA ALUMINIO ALT N° 3          , UN ,24
7898339590353,BACIA  PLASTICA CIT                  , UN ,5.69
7898121652849,"BACIA 4,5LITROS RISCHIOTO            ", UN ,3.49
7898280070522,BACIA CANELADA COM ALCA 18LITROS     , UN ,6.9
7898280070010,BACIA PLASTICA 15LITROS              , UN ,5.9
7897291806809,BACIA PLASTICA GIPLAS RETANGULAR UN  , UN ,5.99
7898121654256,BACIA TOPA TUDO 3LT RISCHIOTO        , UN ,3.99
7898280070027,BALDE 15 LITROS                      , UN ,5.9
7898280070508,BALDE 8 LITROS                       , UN ,3.3
7896001020214,BALDE 9LTRS PARA BRUXA               , UN ,24.8
7898280070621,BALDE ARQPLAST N° 20                 , UN ,8.99
7898280070065,BALDE PLASTICO N° 10                 , UN ,3.5
7896217105149,BALOES COLORIDOS NEW BALL 50UN       , UN ,5.5
7898486070302,BALOES JOY 50UN                      , UN ,5
7896217105330,BALOES NEW BALL BCO 50UN             , UN ,5.5
7896217105439,BALOES NEW BALL CORES SEPARADAS 50UN , UN ,5.5
7899014615750,BANHEIRA DO BEBE 20LT AZUL           , UN ,19.9
7899014615767,BANHEIRA DO BEBE 20LT ROSA           , UN ,19.9
7896008910112,BARALHO COPAG 139 54 CARTAS          , UN ,16.6
7898174485135,BICO MAMADEIRA CONVENCIONAL NINRT UN , UN ,3.79
7896699001007,BICO PARA MAMADEIRA DE SILICONE LOLLY, UN ,3.2
7891321063286,BLOCO RECIBO C/ CANHOTO              , UN ,2.49
7898132135614,BOMBA CHIMARRAO TAUMER GREMIO        , UN ,13.59
7898132140151,BOMBA CHIMARRAO TAUMER INTER         , UN ,13.59
7893505000162,BOMBA PARA CHIMARRAO 1 ANEL          , UN ,5.9
7890026031262,BONECA  DO CAMPO EM GESSO            , UN ,12.59
7898927356248,BONECA MIUDINHA PASSEIO              , UN ,21.49
7898927355456,BONECA MIUDINHAS DIVER TOYS          , UN ,19.9
7898927356361,BONECA TATA BABY                     , UN ,21.9
7896342902217,BORRACHA ESCOLAR MERCUR 40CM         , UN ,0.7
7899471639627,BRINQUEDO SUPER CAR                  , UN ,4.5
7898082112789,BRINQUEDOS ALTIMAR BOLSA E ACESSORIOS, UN ,4.5
7898082112840,BRINQUEDOS ALTIMAR CHAPINHA E ACESSOR, UN ,4.5
7898082112901,BRINQUEDOS ALTIMAR PANELA DE PRESSAO , UN ,4.5
7898082112819,BRINQUEDOS ALTIMAR SECADOR CABELO E A, UN ,4.5
7898339592999,BRINQUEDOS JIPE                      , UN ,4.5
7898912430342,BULE DE ALUMINIO MCF                 , UN ,25.9
7898280070232,CABIDE PADRAO COM 6                  , UN ,3.99
7891253215074,CADERNETA DE APONTAMENTO 40 FOLHAS   , UN ,1
7891027114756,CADERNO  ASPIRAL                     , UN ,1.39
7898285031160,CADERNO 1 MATERIA  96 FOLHAS         , UN ,7.9
7891313600017,CADERNO BEN 10                       , UN ,3.89
7898285030217,CADERNO DE CARTOGRAFIA 48FOLHAS      , UN ,3.69
7898285071166,CADERNO PANAMERICANA 96 FOLHAS PETALA, UN ,7.9
7898285061167,CADERNO PANAMERICANA ONLY 96 FOLHAS  , UN ,7.9
7898285030262,CADERNO PANAMERICANO 96FOLHAS EXP.   , UN ,3.59
7894494546334,CADERNO PATATI  PATATA               , UN ,1.79
7897249562016,CADERNO ROMITEC 96 FOLHAS            , UN ,3.19
7897249562009,CADERNO ROMITEC LIFESTYLE 48 FOLHAS  , UN ,1.89
7891027127961,CADERNO TILIBRA 200 FOLHAS 10MAT     , UN ,13.89
7891027139247,CADERNO TILIBRA 96FOLHAS             , UN ,5.49
7891027139285,CADERNO TILIBRA MAIS 200 FOLHAS      , UN ,9.49
6952525898386,CALCULADORA ELETRONICA SHENG         , UN ,7.49
7898452497461,CANECA DE CERAMICA  DIVERSAS         , UN ,5.9
7898452496037,CANECA DE CERAMICA YAZI              , UN ,5.9
7898921403214,CANECA PLASTICA                      , UN ,2.99
7898280071123,CANECA PLASTICA ARQPLAST             , UN ,2.35
7503002942161,CANETA MARCA TEXTO UN                , UN ,1.5
7897476618692,CANETAS HIDROCORES 12 UN             , UN ,2.99
7897476656175,CANETAS HIDROCORES 24 UN             , UN ,5.99
7897731190123,CANETAS HIDROGRAFICAS MARIEL 12UN    , UN ,4.9
7898951187108,CARRINHO POP                         , UN ,4.5
7898176820347,CARRINHO TRUCK                       , UN ,7.99
7898280070843,CESTO FECHADO COM TAMPA 10LITROS     , UN ,4.99
7898339590339,CESTO LIXO TELADO                    , UN ,4.9
7898280070133,CESTO TELADO P/ ROUPAS AEQPLAST      , UN ,7.49
7909171235033,CHINELO BAD BOY 26/27 PTO            , UN ,25.49
7909171234838,CHINELO BAD BOY EXTREME INF 26/27 PTO, UN ,25.49
7909006747533,CHINELO BAD BOY EXTREME INF 28       , UN ,25.49
7909006747540,CHINELO BAD BOY EXTREME INF 29 VERM/P, UN ,25.49
7909171234968,CHINELO BAD BOY EXTREME INF 30 AZUL  , UN ,25.49
7909006745461,CHINELO BAD BOY MINA 37/38 AZUL      , UN ,29.9
7909171233855,CHINELO BAD BOY MINA 39              , UN ,29.99
7909171233756,CHINELO BAD BOY MINA 41 AZUL         , UN ,29.99
7909171233824,CHINELO BAD BOY MINA 42              , UN ,29.99
7909006745485,CHINELO BAD BOY MINA AZUL 40         , UN ,29.99
7909171234944,CHINELO BAD BOYS 28 AZUL             , UN ,25.49
7890875817390,CHINELO BEN 10 25/26 PTO             , UN ,22.39
7890875817314,CHINELO BEN 10 25/26 PTO/VERDE       , UN ,22.39
7909006916717,CHINELO CARTAGO 41 AZUL              , UN ,29.49
7909171105848,CHINELO CASUAL CARTAGO 37/38         , UN ,33.9
7909171104414,CHINELO CASUAL CARTAGO 39 MARROM     , UN ,29.49
7909171104537,CHINELO CASUAL CARTAGO 39 PRETO      , UN ,29.49
7909171104544,CHINELO CASUAL CARTAGO 40 PTO1       , UN ,29.49
7909171105879,CHINELO CASUAL CARTAGO 41            , UN ,33.9
7909171104551,CHINELO CASUAL CARTAGO 41 PTO2       , UN ,29.49
7909171105947,CHINELO CASUAL CARTAGO 42            , UN ,33.9
7909171105886,CHINELO CASUAL CARTAGO 42 MARROM     , UN ,33.9
7909171104568,CHINELO CASUAL CARTAGO 42 PRETO      , UN ,29.49
7909171105893,CHINELO CASUAL CARTAGO 43/44         , UN ,33.9
7909171104506,CHINELO CASUAL CARTAGO MARROM        , UN ,29.49
7909006045332,CHINELO CLASSICA INF 23/24 ROSA      , UN ,8.4
7909006136184,CHINELO GUGA KUERTEN 41/42           , UN ,29.9
7909006304705,CHINELO IPANEMA  BRASIL 37/38 AZUL   , UN ,16.8
7909006891328,CHINELO IPANEMA  ROMANCE 37/38 BCO/PT, UN ,19.9
7890244992734,CHINELO IPANEMA 23/24 AZUL           , UN ,8.4
7909006045271,CHINELO IPANEMA 23/24 AZUL/ROSA      , UN ,8.4
7909006301841,CHINELO IPANEMA 23/24 ROSA           , UN ,8.4
7890244992741,CHINELO IPANEMA 25/26 AZUL           , UN ,8.4
7909006045349,CHINELO IPANEMA 25/26 PINK           , UN ,8.4
7909006301858,CHINELO IPANEMA 25/26 ROSA           , UN ,8.4
7890244992758,CHINELO IPANEMA 27/28 AZUL           , UN ,8.4
7909006045295,CHINELO IPANEMA 27/28 AZUL/ROSA      , UN ,8.4
7890244992765,CHINELO IPANEMA 29/30 AZUL           , UN ,8.4
7890244586667,CHINELO IPANEMA 31/32                , UN ,8.4
7890244992772,CHINELO IPANEMA 31/32 AZUL           , UN ,8.4
7909171167259,CHINELO IPANEMA 36 ROSA/PTO          , UN ,20.95
7909006906732,CHINELO IPANEMA 41/42 PTO/AZUL       , UN ,16.8
7890244999122,CHINELO IPANEMA 43/44 PRETO          , UN ,10.69
7890244999092,CHINELO IPANEMA ANATOMICA 37/38 PTO  , UN ,10.69
7890244999108,CHINELO IPANEMA ANATOMICA 39/40 PTO  , UN ,10.69
7890875692560,CHINELO IPANEMA ANATOMICA 41/42 AZUL , UN ,10.69
7890244999115,CHINELO IPANEMA ANATOMICA 41/42 PTO  , UN ,10.69
7909006904882,CHINELO IPANEMA BABY 17/18 ROSA      , UN ,14.95
7909006904851,CHINELO IPANEMA BABY 20/21 AZUL      , UN ,14.95
7909006904905,CHINELO IPANEMA BABY 20/21 ROSA      , UN ,14.95
7909006904912,CHINELO IPANEMA BABY 22 ROSA         , UN ,14.95
7909006904875,CHINELO IPANEMA BABY 23/24 AZUL      , UN ,14.95
7909006904929,CHINELO IPANEMA BABY 23/24 ROSA      , UN ,14.95
7909171284864,CHINELO IPANEMA BARBIE STYLE 29/30 LI, UN ,18.9
7909006304545,CHINELO IPANEMA BRASIL 37/38 PTO     , UN ,16.8
7909006906718,CHINELO IPANEMA BRASIL 37/38 PTO AZUL, UN ,16.8
7909006304637,CHINELO IPANEMA BRASIL 39/40 AZ REEBO, UN ,16.8
7909006906640,CHINELO IPANEMA BRASIL 39/40 AZUL    , UN ,16.8
7909006904127,CHINELO IPANEMA BRASIL 41/42 PRETO   , UN ,16.8
7891261019299,CHINELO IPANEMA BRASIL 43/44 PTO     , UN ,16.8
7890875852063,CHINELO IPANEMA BUBBLE INF 25/26 STRA, UN ,20.95
7890875852070,CHINELO IPANEMA BUBBLE INF 27/28 STRA, UN ,20.95
7890875852087,CHINELO IPANEMA BUNNLE INF 29/30 STRA, UN ,20.95
7909006526091,CHINELO IPANEMA CLASICA 36 VERM      , UN ,10.49
7909006061004,CHINELO IPANEMA CLASSACA 37/38 AZUL  , UN ,10.49
7909006061011,CHINELO IPANEMA CLASSACA 39/40 AZUL  , UN ,10.49
7909006895739,CHINELO IPANEMA CLASSICA 33/34 LILAS , UN ,10.49
7891261807612,CHINELO IPANEMA CLASSICA 33/34 PTO   , UN ,10.49
7909006895838,CHINELO IPANEMA CLASSICA 33/34 ROSA  , UN ,10.49
7909006526077,CHINELO IPANEMA CLASSICA 33/34 VERM  , UN ,10.49
7899006047545,CHINELO IPANEMA CLASSICA 35 AMARELO  , UN ,10.4
7891261807629,CHINELO IPANEMA CLASSICA 35 PTO      , UN ,10.49
7909006895845,CHINELO IPANEMA CLASSICA 35 ROSA     , UN ,10.49
7909006061226,CHINELO IPANEMA CLASSICA 35 VERDE    , UN ,10.49
7891261807636,CHINELO IPANEMA CLASSICA 36 PTO      , UN ,10.49
7909006895852,CHINELO IPANEMA CLASSICA 36 ROSA     , UN ,10.4
7890875227311,CHINELO IPANEMA CLASSICA 37/38 BCA   , UN ,10.49
7901261145598,CHINELO IPANEMA CLASSICA 37/38 PTO   , UN ,10.49
7909006895869,CHINELO IPANEMA CLASSICA 37/38 ROSA  , UN ,10.49
7909006526107,CHINELO IPANEMA CLASSICA 37/38 VERM  , UN ,10.49
7909006302336,CHINELO IPANEMA CLASSICA 39/40 LILAS , UN ,10.4
7891261818786,CHINELO IPANEMA CLASSICA 39/40 PTO   , UN ,10.49
7909006895876,CHINELO IPANEMA CLASSICA 39/40 ROSA  , UN ,10.4
7909006526114,CHINELO IPANEMA CLASSICA 39/40 VERM  , UN ,10.4
7909006061028,CHINELO IPANEMA CLASSICA 41/42 AZUL  , UN ,10.49
7890875227335,CHINELO IPANEMA CLASSICA 41/42 BCA   , UN ,10.49
7909006892141,CHINELO IPANEMA CLASSICA 41/42 CINZA , UN ,10.49
7909006892233,CHINELO IPANEMA CLASSICA 43/44 VDE   , UN ,10.49
7890244991799,CHINELO IPANEMA CLASSICA 45/46 AZUL  , UN ,10.49
7890875227359,CHINELO IPANEMA CLASSICA 45/46 BCA   , UN ,10.49
7909006301865,CHINELO IPANEMA CLASSICA INF 27/28 RO, UN ,8.4
7909006301872,CHINELO IPANEMA CLASSICA INF 29/30 RO, UN ,8.4
7909006045318,CHINELO IPANEMA CLASSICA INF 31/32 AZ, UN ,8.4
7909006301889,CHINELO IPANEMA CLASSICA INF 31/32 RO, UN ,8.4
7891261848998,CHINELO IPANEMA CLASSICA PRETO 37/38 , UN ,10.49
7891261849001,CHINELO IPANEMA CLASSICA PRETO 39/40 , UN ,10.9
7890875227328,CHINELO IPANEMA CLASSOCA 39/40 BCO   , UN ,10.49
7909171199960,CHINELO IPANEMA FASHIAN 35 AZUL      , UN ,25.49
7909171200000,CHINELO IPANEMA FASHION 33/34 PTO    , UN ,25.49
7909006914331,CHINELO IPANEMA FASHION 35 PTO/BCO   , UN ,25.49
7909171200024,CHINELO IPANEMA FASHION 36 PTO/OURO  , UN ,25.49
